Pregunta;Opcion 1;Opcion 2;Opcion 3;Opcion 4;Opcion 5;Respuestas
Quien es jesus?;Un pana;Un vagabundo;Diosito;Otro;;1 2
Quien soy?;Estudiante;Alguien mas;Otra person;Aja;Yo;1 5
A large company is interested in avoiding long-term contracts and moving from fixed costs to variable costs. What is the value proposition of AWS for this company?;Pay-as-you-go pricing;Economies of scale;Automated cost optimization;Volume pricing discounts;;2
Which AWS service can a team use to deploy infrastructure on AWS using familiar programming languages?;AWS CodeCommit;AWS Config;Amazon CodeGuru;AWS Cloud Development Kit (AWS CDK);;4
Which of the following statements best describes the concept of agility in relation to cloud computing on AWS? (Select TWO.);The speed at which AWS resources can be created.; The elimination of wasted capacity.;The ability to experiment quickly.; The speed at which AWS rolls out new features.;The ability to automatically scale capacity.;1 5
Which of the following is a sole responsibility of AWS?;Customer data access controls;Patch management; Application deployment;Availability Zone management;;4
Which AWS Cloud service provides recommendations on how to optimize performance for AWS services?;Amazon Inspector;AWS Trusted Advisor; Amazon CloudWatch;AWS CloudTrail;;2
What is one method of protecting against distributed denial of service (DDoS) attacks in the AWS Cloud?;Enable AWS CloudTrail logging.;Use Amazon CloudWatch monitoring.;Configure a firewall in front of resources.; Monitor the AWS Health Dashboard.;;3
AWS are able to continually reduce their pricing due to:;Compute savings plans.;Economies of scale.; Pay-as-you go pricing.;Elastic compute services.;;2
According to the AWS shared responsibility model which of the following is a responsibility of AWS?;Configuring network ACLs to block malicious attacks.;Patching software running on Amazon EC2 instances.;Updating security group rules to enable connectivity.;Updating the firmware on the underlying EC2 hosts.;;4
A Cloud Practitioner needs a tool that can assist with viewing and managing AWS costs and usage over time. Which tool should the Cloud Practitioner use?;AWS Budgets;AWS Cost Explorer; Amazon Inspector;AWS Organizations;;2
Which of the following can an AWS customer use to launch a new ElastiCache cluster? (Select TWO.);AWS CloudFormation;AWS Management Console; AWS Concierge;AWS Data Pipeline;AWS Systems Manager;1 2
What advantages does a database administrator obtain by using the Amazon Relational Database Service (RDS)?;RDS provides 99.99999999999% reliability and durability.;RDS simplifies relational database administration tasks.; RDS databases automatically scale based on load.;RDS enables users to dynamically adjust CPU and RAM resources.;;2
An application uses a PostgreSQL database running on a single Amazon EC2 instance. A Cloud Practitioner has been asked to increase the availability of the database so there is automatic recovery in the case of a failure.;Configure an Elastic Load Balancer in front of the EC2 instance.;Migrate the database to Amazon RDS and enable the Multi-AZ feature.;Configure EC2 Auto Recovery to move the instance to another Region.;Set the DeleteOnTermination value to false for the EBS root volume.;;2
Which tasks require the use of the AWS account root user? (Select TWO.);Changing AWS Support plans.; Changing the account name.;Changing payment currency.; Viewing AWS CloudTrail logs.;Enabling encryption for S3.;1 2
A website has a global customer base and users have reported poor performance when connecting to the site. Which AWS service will improve the customer experience by reducing latency?;Amazon EC2 Auto Scaling;Amazon CloudFront; AWS Direct Connect;Amazon ElastiCache;;2
What is the best practice for managing AWS IAM access keys?;There is no need to manage access keys.;Never use access keys; always use IAM roles.; Customers should rotate access keys regularly.;AWS rotate access keys on a schedule.;3
A company needs to publish messages to a thousands of subscribers simultaneously using a push mechanism. Which AWS service should the company use?;Amazon Simple Notification Service (Amazon SNS); Amazon Simple Workflow Service (SWF);AWS Step Functions;Amazon Simple Queue Service (Amazon SQS);;1
Which AWS service can a company use to discover and protect sensitive data that is stored in Amazon S3 buckets.;AWS Policy Generator; Amazon Detective;Amazon Macie;Amazon GuardDuty;;3
A Cloud Practitioner is developing a new application and wishes to integrate features of AWS services directly into the application. Which of the following is the BEST tool for this purpose?;AWS CodePipeline;AWS CodeDeploy;AWS Command Line Interface (CLI);AWS Software Development Kit; ;4
An Amazon Virtual Private Cloud (VPC) can include multiple:;Availability Zones.; Edge locations.;Internet gateways.;AWS Regions.;;1
How much data can a company store in the Amazon S3 service?;Virtually unlimited; 100 TB;100 PB;1 PB;;1
A company is deploying a new web application in a single AWS Region that will be used by users globally. Which AWS services will assist with lowering latency and improving transfer speeds for the global users? (Select TWO.);AWS Transit Gateway;AWS Direct Connect;AWS Snowcone;AWS Global Accelerator; Amazon CloudFront;4 5
